,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
24,梅瑟的小屿宙,id=2563429944&refer_flag=1001015010_,"['梅瑟的小屿宙', '']",?评论,?1,2018-10-13 20:09,,"回学校蹭吃蹭喝蹭网
和好友看看电影聊聊天
才是美好的周末
ps：看完影只想大声呐喊 我愿意嫁 还我杨平 2北京·北京大学",2.0,False
25,一只阿笙www,id=5756900746&refer_flag=1001015010_,['一只阿笙www'],?评论,?赞,2018-10-13 21:27,华为手机 畅享玩不停,"今天的日常
海底捞，铁板烧 2北京·北京大学",0.0,False
26,禾铄,id=6617741435&refer_flag=1001015010_,['禾铄'],?评论,?赞,2018-10-13 18:19,,分享图片 2北京·北京大学,9.0,False
27,北京茗视光眼科,id=2385790813&refer_flag=1001015010_,"['北京茗视光眼科', '', '微博会员', '熊猫守护者']",?评论,?赞,2018-10-13 15:13,iPhone客户端,北京，不仅有天安门、故宫、颐和园……还有中国的Top2高校～北京大学、清华大学。北京不仅有风景，也有梦想。金秋，来北京看风景，实现您的人生梦想吧！ 2北京·北京大学,6.0,False
28,董了董了,id=1642294367&refer_flag=1001015010_,"['董了董了', '', '微博会员', '熊猫守护者']",?评论,?4,2018-10-13 16:04,,"眼底未名水

胸中黄河月

我一直很喜欢北大
像全国大多数学生那样向往着北大说过以后要考北大的话
可惜...展开全文c",9.0,False
29,BigMEast,id=6362333424&refer_flag=1001015010_,"['BigMEast', '微博会员', '熊猫守护者']",?评论,?赞,2018-10-13 21:36,iPhone 8,分享图片 2北京·北京大学,1.0,False
30,Ashley7sy,id=1714137280&refer_flag=1001015010_,"['Ashley7sy', '']",? 1,?赞,2018-10-13 20:10,,"和你逛校园逛出好多惊喜
期待下次见面 2北京·北京大学",3.0,False
31,DeltaEECS,id=5514634029&refer_flag=1001015010_,['DeltaEECS'],?评论,?赞,2018-10-13 18:28,小米6 拍人更美,夜未名 2北京·北京大学,6.0,False
32,Dreamer畅,id=5641259248&refer_flag=1001015010_,"['Dreamer畅', '微博会员', '熊猫守护者']",?评论,?赞,2018-10-13 19:19,,满意 2北京·北京大学,3.0,False
33,大古雁岭,id=3279539930&refer_flag=1001015010_,['大古雁岭'],?评论,?赞,2018-10-13 20:43,三星android智能手机,在北大听歌剧 2北京·北京大学,2.0,False
34,林木不为森_L,id=5743585129&refer_flag=1001015010_,"['林木不为森_L', '熊猫守护者']",?评论,?赞,2018-10-13 19:46,,#惊艳中国# 可能理解了她们为什么被称为优秀女性 2北京·北京大学,1.0,False
35,祁雅榕,id=5541303724&refer_flag=1001015010_,['祁雅榕'],? 2,?3,2018-10-13 11:53,荣耀8 美得与众不同,不是所有的图书馆，都叫北京大学图书馆 2北京·北京大学,9.0,False
36,严perfect,id=3267115310&refer_flag=1001015010_,['严perfect'],? 1,?4,2018-10-13 17:06,,假装自己很厉害哈哈哈师兄们太帅，很开心的一天，很久没运动，老胳膊老腿真的不行。抱了优秀小哥哥们大腿收获一张健身月卡和无数桶酸奶哈哈 2北京·北京大学,6.0,False
37,白衣少年她寄几,id=1711693157&refer_flag=1001015010_,['白衣少年她寄几'],?评论,?赞,2018-10-13 21:03,,在目标和发展中变得富有2北京·北京大学 2北京·北京大学,0.0,False
38,张萌_萌姐,id=3756237190&refer_flag=1001015010_,"['张萌_萌姐', '', '微博会员']",? 31,?574,2018-10-13 16:41,,我到了，在彩排，你呢#萌姐演讲说# 2北京·北京大学 L张萌_萌姐的微博视频,0.0,False
39,御猫小铺,id=5950163874&refer_flag=1001015010_,['御猫小铺'],?评论,?赞,2018-10-13 18:58,HUAWEI nova 3,中商烟草推出新产品，御猫-融和细支香烟。 2北京·北京大学,1.0,False
40,还是在一起谈谈C艹吧,id=3972815998&refer_flag=1001015010_,['还是在一起谈谈C艹吧'],?评论,?赞,2018-10-13 21:07,小米8周年旗舰手机,明天会计各路大神保佑 事成之后必会还愿 ????????????? 2北京·北京大学,9.0,False
