,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
29,海钝,id=2471026607&refer_flag=1001015010_,['海钝'],?评论,?赞,2018-10-13 15:58,,分享图片 2北京·清华大学本部,9.0,False
30,海钝,id=2471026607&refer_flag=1001015010_,['海钝'],?评论,?赞,2018-10-13 15:57,,分享图片 2北京·清华大学本部,9.0,False
31,海钝,id=2471026607&refer_flag=1001015010_,['海钝'],?评论,?赞,2018-10-13 15:57,,分享图片 2北京·清华大学本部,9.0,False
32,海钝,id=2471026607&refer_flag=1001015010_,['海钝'],?评论,?赞,2018-10-13 15:57,,分享图片 2北京·清华大学本部,9.0,False
33,海钝,id=2471026607&refer_flag=1001015010_,['海钝'],?评论,?赞,2018-10-13 15:56,,分享图片 2北京·清华大学本部,9.0,False
34,Tang-半顆糖-甜到傷,id=1897574512&refer_flag=1001015010_,['Tang-半顆糖-甜到傷'],? 6,?1,2018-10-13 13:22,,"清华真的好大 好大
踩单车的我都觉得累了
清华真的很美 很美
得知道看见的每个人都是省状元啊
渣渣的我要回去了
期待下一次的相遇啊 2北京·清华大学本部",9.0,False
35,锅包肉配锅包肉,id=5069026026&refer_flag=1001015010_,['锅包肉配锅包肉'],?评论,?赞,2018-10-13 19:05,荣耀8 美得与众不同,有点味道。 2北京·清华大学本部,1.0,False
36,破败之刃,id=5358630362&refer_flag=1001015010_,['破败之刃'],?评论,?1,2018-10-13 16:04,小米6 拍人更美,看来香山的红叶应该也快了 2北京·清华大学本部,1.0,False
37,齐齐大圣和青青仙女,id=6390911554&refer_flag=1001015010_,['齐齐大圣和青青仙女'],?评论,?赞,2018-10-13 19:27,,"#一周年快乐#
虽然第一个周年纪念日我们身处异地，但视频里的幸福就像我们陪在彼此身边
定个小目标吧，新一年的生活要更加精彩，比如等你回来我们一起去看李健演唱会，一起去滑雪??，明年我们一起去坐热气球? 2北京·清华大学本部",4.0,False
38,自称Conrad的小石榴,id=2250583834&refer_flag=1001015010_,"['自称Conrad的小石榴', '', '微博会员']",?评论,?赞,2018-10-13 13:48,iPhone 7,从前慢，现在没学生。(:з っ )っ 2北京·清华大学本部 L自称Conrad的小石榴的微博视频,0.0,False
39,最暖不如我葵阿,id=2737447861&refer_flag=1001015010_,"['最暖不如我葵阿', '熊猫守护者']",?评论,?2,2018-10-13 17:55,前置双摄vivo X9sPlus,#只要你不# 只要你不嫌弃我啊 2北京·清华大学本部,2.0,False
